nid,title,author,date,content,company,content_clean,sentiment
425556376,본주 레버리지 양빵 주가조작,즐거운마티니,2026.07.15 12:11,"조사해서 패가망신 시키변 장난질 못함
강력 경고하더라. 돈쫌 벌어볼라다가 방시혁꼴날듯",삼성전자,조사해서 패가망신 시키변 장난질 못함 강력 경고하더라. 돈쫌 벌어볼라다가 방시혁꼴날듯,안티
425556365,내년 영익 837조 - UBS 레포트,hsh,2026.07.15 12:11,PER 2가 말이되나?,삼성전자,PER 2가 말이되나?,안티
425556343,이렇게 단타를 많이 주니,1000프로요,2026.07.15 12:11,"다른 종목 안하지 이렇게 달에 10프로만 벌어도
ㅎㅎ 직장 다닐 이유 있나?",삼성전자,다른 종목 안하지 이렇게 달에 10프로만 벌어도 직장 다닐 이유 있나?,찬티
425556314,하이닉스 반토막 또 시작이네ㅋ 기회줄 때 탈출해라 내일 금리인상 하면 폭락이다 탈출해라 탈출은 지능순,코스피ㅡ만,2026.07.15 12:10,기회 줄 때 탈출해라 탈출은 지능순,삼성전자,기회 줄 때 탈출해라 탈출은 지능순,안티
425556310,291000,hunjoun,2026.07.15 12:10,"위로 가야 다시 갈 듯한데
매수세력이 부족한 듯",삼성전자,위로 가야 다시 갈 듯한데 매수세력이 부족한 듯,찬티
425556308,형들 281보내줘 오늘단타 마무리짓게,행복한소식공격수,2026.07.15 12:10,힘내줘 화이팅,삼성전자,힘내줘 화이팅,찬티
425556287,오늘 같은 날은,하이,2026.07.15 12:10,"상한가 가도 부족함-- 한미반도체 봐라-- ETF 만든 구윤철은 사퇴해라--
부정선거--!! 당일투표---!!
좌파정권은 주식시장 살려라!!",삼성전자,상한가 가도 부족함 한미반도체 봐라 ETF 만든 구윤철은 사퇴해라 부정선거 !! 당일투표 !! 좌파정권은 주식시장 살려라!!,안티
425556284,부정선거 타령하는 인간들아 얼른 병원가봐라 증상이 심각해 보인다,세상을이롭게,2026.07.15 12:10,"아직도 부정선거 타령하는 인간이 있네 부정선거 윤완용이 하지 않았니
명태균 여론조사로 어제 징역2년 받았고 신천지 통일교 사이비 신자들
동원해서 가입시켜 당대표 선거 대선후보 선거에
영향력을 만든 사람이 윤완용이 아니냐 멍청한 인간들아
어찌 야당 이재명 후보쪽에서 부정선거를 할수있냐
부정선거를 처음에 선동한 사람이 극우 유튜버다
우매한 보수 할매할배들한테 후원금 받고자 그럴듯하게
가짜뉴스 남발한걸 지금도 믿고 헛소리하냐 가짜뉴스도 판별도 못하냐",삼성전자,아직도 부정선거 타령하는 인간이 있네 부정선거 윤완용이 하지 않았니 명태균 여론조사로 어제 징역2년 받았고 신천지 통일교 사이비 신자들 동원해서 가입시켜 당대표 선거 대선후보 선거에 영향력을 만든 사람이 윤완용이 아니냐 멍청한 인간들아 어찌 야당 이재명 후보쪽에서 부정선거를 할수있냐 부정선거를 처음에 선동한 사람이 극우 유튜버다 우매한 보수 할매할배들한테 후원금 받고자 그럴듯하게 가짜뉴스 남발한걸 지금도 믿고 헛소리하냐 가짜뉴스도 판별도 못하냐,중립
425556281,"오늘밤, 엔비디아 5일선 안착 밑 구름대 상단트라이, 나스닥 5일선돌파, 필반 20선 트라이",꾸준한적립도롱뇽,2026.07.15 12:10,"다 걸려있음.
내일까지 오름. 차익실현 아직 아님.
삼전이 가야 코스피가 갈수 있으니 오늘처럼
소폭? 상승할떄는 그냥 엉덩이 붙이고 있는게 이로움
내일 삼전 폭발할거라 봄.
재드래곤이 센스가 있으면 오늘 시외에 공시하나 낸다.",삼성전자,다 걸려있음. 내일까지 오름. 차익실현 아직 아님. 삼전이 가야 코스피가 갈수 있으니 오늘처럼 소폭? 상승할떄는 그냥 엉덩이 붙이고 있는게 이로움 내일 삼전 폭발할거라 봄. 재드래곤이 센스가 있으면 오늘 시외에 공시하나 낸다.,찬티
425556259,닉스랑 외국인 수급이 왜이래 벌어지는겨.,단일종목에6억투자,2026.07.15 12:10,이유 잘 생각해보길...,삼성전자,이유 잘 생각해보길...,중립
425556237,아악... 어제 팔았는데 아악,귀여운고가동반자,2026.07.15 12:10,25500에 팔았는데 이게 뭔일이야!!,삼성전자,25500에 팔았는데 이게 뭔일이야!!,안티
425556227,ADR 유언비어 그만하고 자사주 매입공시나 올려라...,이게뭐냐ㅋㅋ,2026.07.15 12:10,그거면 된다..,삼성전자,그거면 된다..,찬티
425556188,ㅋ 떨어질땐,위대한임팩트,2026.07.15 12:09,"10% 오를땐 4~6% 계속 그러면 어떻게 되는거임
혹시 0원?",삼성전자,10 오를땐 4 6 계속 그러면 어떻게 되는거임 혹시 0원?,안티
425556187,이제 가나 보다,주식폭망해,2026.07.15 12:09,뉸누난나나,삼성전자,뉸누난나나,중립
425556179,문조털래유는 반드시,새침한업종드래곤,2026.07.15 12:09,"이낙연, 한동훈, 오세훈 중 한명이랑 손 잡는다.
지들 끼리 나뉘어 싸우기도 할거야.
내말 헛소리 같지? 2022년에 이미 봤잖아.",삼성전자,"이낙연, 한동훈, 오세훈 중 한명이랑 손 잡는다. 지들 끼리 나뉘어 싸우기도 할거야. 내말 헛소리 같지? 2022년에 이미 봤잖아.",중립
425556165,여기서 팔고 믿어서 기다려라,rlgndnlrl,2026.07.15 12:09,"무한반복 단타 어자피 안간다
레버리지 ETF상폐없인 제자리 찾아가기 힘들다",삼성전자,무한반복 단타 어자피 안간다 레버리지 ETF상폐없인 제자리 찾아가기 힘들다,안티
425556159,지금 화나서 안티하는 애들 누군지 알려줌ㅋㅋㅋ,삼닉은전설,2026.07.15 12:09,"어제 그제 서킷 사이드카 걸릴 때 공포에 던진 삼닉 주주 출신들임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
오늘 내렸으면 형이 빼라했제 할라했는데 어리둥절 ㅋㅋㅋㅋ
털리고 반등하니까 표독해져서 눈물의 안티질 중 ㅋㅋㅋㅋㅋ
니 돈 잘 먹었다 꺼억ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맛좋노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",삼성전자,어제 그제 서킷 사이드카 걸릴 때 공포에 던진 삼닉 주주 출신들임 오늘 내렸으면 형이 빼라했제 할라했는데 어리둥절 털리고 반등하니까 표독해져서 눈물의 안티질 중 니 돈 잘 먹었다 꺼억 맛좋노,안티
425556112,악귀 출몰,와신상담후,2026.07.15 12:08,"주가 추락시는 악귀들이 대거나오고
오늘은 숨어지내고",삼성전자,주가 추락시는 악귀들이 대거나오고 오늘은 숨어지내고,안티
425556088,내가 ADR로 안간이유,NOVA,2026.07.15 12:08,"얼마전 하닉정리하고 삼성에 올인한 사람입니다.
삼전이 우리나라 대표기업이라 생각했기에
우리나라의 미래를 이끌어 가라고 조금이나마 힘을 보태려고 삼전에 투자를했는데 삼전이. 미국 ADR로 가면 속상할것 같아요...",삼성전자,얼마전 하닉정리하고 삼성에 올인한 사람입니다. 삼전이 우리나라 대표기업이라 생각했기에 우리나라의 미래를 이끌어 가라고 조금이나마 힘을 보태려고 삼전에 투자를했는데 삼전이. 미국 ADR로 가면 속상할것 같아요...,찬티
425556048,"""당신의 삶 속에서 그 사랑 받고 있지요.""",골든크로스상한가,2026.07.15 12:08,"""당신의 삶 속에서 그 사랑 받고 있지요.""
이 문장은 이민섭 목사가 1997년에 작곡한 유명한 CCM 당신은 사랑받기 위해 태어난 사람의 핵심 구절입니다. 대중적으로도 생일 축하 노래나 축하 및 위로의 메시지로 매우 널리 사용됩니다. 전체 가사와 곡의 의미는 다음과 같습니다.
전체 가사
당신은 사랑받기 위해 태어난 사람
당신의 삶 속에서 그 사랑 받고 있지요
태초부터 시작된 하나님의 사랑은
우리의 만남을 통해 열매를 맺고
당신이 이 세상에 존재함으로
우리에겐 얼마나 큰 기쁨이 되는지
당신은 사랑받기 위해 태어난 사람
지금도 그 사랑 받고 있지요
당신 호구 이용 당하기 위해서 태어난 사람.",삼성전자,당신의 삶 속에서 그 사랑 받고 있지요. 이 문장은 이민섭 목사가 1997년에 작곡한 유명한 CCM 당신은 사랑받기 위해 태어난 사람의 핵심 구절입니다. 대중적으로도 생일 축하 노래나 축하 및 위로의 메시지로 매우 널리 사용됩니다. 전체 가사와 곡의 의미는 다음과 같습니다. 전체 가사 당신은 사랑받기 위해 태어난 사람 당신의 삶 속에서 그 사랑 받고 있지요 태초부터 시작된 하나님의 사랑은 우리의 만남을 통해 열매를 맺고 당신이 이 세상에 존재함으로 우리에겐 얼마나 큰 기쁨이 되는지 당신은 사랑받기 위해 태어난 사람 지금도 그 사랑 받고 있지요 당신 호구 이용 당하기 위해서 태어난 사람.,중립
425556031,부패완판 부부,세상을이롭게,2026.07.15 12:08,"윤석열 내란죄 1심 무기징역 체포방해7년
명태균 공짜 여론조사 징역2년 현재 재판중
김거니 매관매직 징역7년 자본시장법 (주가조작) 징역4년
다른건으로도 윤거니 부부 징역 추가예정 상당 보수떨거지들아
이래도 윤어게인 타령할래 부패완판 가족이 아니더냐",삼성전자,윤석열 내란죄 1심 무기징역 체포방해7년 명태균 공짜 여론조사 징역2년 현재 재판중 김거니 매관매직 징역7년 자본시장법 주가조작 징역4년 다른건으로도 윤거니 부부 징역 추가예정 상당 보수떨거지들아 이래도 윤어게인 타령할래 부패완판 가족이 아니더냐,안티
425555957,경제 지표 흐름상,ㅅㄴ싼,2026.07.15 12:07,"코스피 10.000 포인트 넘어갑니다
전자는 50만 돌파함",삼성전자,코스피 10.000 포인트 넘어갑니다 전자는 50만 돌파함,찬티
425555955,이구간을,몽,2026.07.15 12:07,"못넘기고 계속
미끄러지냐?",삼성전자,못넘기고 계속 미끄러지냐?,안티
425555940,야 진짜 28만 올가미에 걸렸남!,노맥,2026.07.15 12:07,탈출 안되남!,삼성전자,탈출 안되남!,안티
425555915,부정선거 국정조사 ㅋ6ㅋ,역사를갈쳐주마,2026.07.15 12:07,"완벽한세력비행기야 ㅋㅋ
니는 일베타령하는 걸 보니 ㅋㅋㅋㅋ
수꼴맞냐? ㅋㅋㅋㅋ
머 구린 건 없고 ㅋㅋㅋㅋㅋ",삼성전자,완벽한세력비행기야 니는 일베타령하는 걸 보니 수꼴맞냐? 머 구린 건 없고,찬티
425555905,오늘 오후,르아프,2026.07.15 12:07,긴 뼈다귀 만들것 같아요,삼성전자,긴 뼈다귀 만들것 같아요,찬티
425555851,어쩌다 삼전이 하이닉스 따까리로 전락했나,청천,2026.07.15 12:06,한심하노,삼성전자,한심하노,안티
425555834,국정운영은 이재명정부처럼 하는거다.,세상을이롭게,2026.07.15 12:06,이재명 대통령취임 1년만에 신화를 써내려가고있다...페루와 K2전차 3조원규모 계약 체결UAE 방산 수출계약 체결 51조원 단군이래 역사상 최대금액 계약코스피 상승률 75.6% G20 OECD 1 위 꿈의 코스피 7500달성 코스닥 4년만에 1000돌파 삼성전자 주가28만 돌파 하이닉스200만 돌파 중국과 서해구조물 철거합의 중국 한한령 해제 예정 폴란드에 천무 다연장 로켓 수출 5조 8천억 계약 체결APEC성공개최 핵추진 잠수함 승인 우라늄 재처리승인 관세협상 성공민주국가 회복 내란 청산중 국민연금 작년 수익 260조원 수익창출 폴란드에 K2전차180대로 방산 수출 (약9조) 한국은행 발표 올해 경제성장률 1.8% 예상 작년 역대 최대수출 7000억 달러 세계6번째 [속보] 11월 취업자 수 22만5천명↑…극우 수구들아 극우 유튜브 조선뉴스 가짜뉴스보고 개소리좀 작작해라 극우유튜브의 왜곡선동에 멍청하게 놀아나지마라 극우 유튜버들 우매한 보수할매할배들한테 코인팔이 그 이상도 이하도 아니다 윤완용때 삼전 5만원대 코스피2500 윤통 모지리때 역대최저 마이너스 경제성장률 기록,삼성전자,이재명 대통령취임 1년만에 신화를 써내려가고있다...페루와 K2전차 3조원규모 계약 체결UAE 방산 수출계약 체결 51조원 단군이래 역사상 최대금액 계약코스피 상승률 75.6 G20 OECD 1 위 꿈의 코스피 7500달성 코스닥 4년만에 1000돌파 삼성전자 주가28만 돌파 하이닉스200만 돌파 중국과 서해구조물 철거합의 중국 한한령 해제 예정 폴란드에 천무 다연장 로켓 수출 5조 8천억 계약 체결APEC성공개최 핵추진 잠수함 승인 우라늄 재처리승인 관세협상 성공민주국가 회복 내란 청산중 국민연금 작년 수익 260조원 수익창출 폴란드에 K2전차180대로 방산 수출 약9조 한국은행 발표 올해 경제성장률 1.8 예상 작년 역대 최대수출 7000억 달러 세계6번째 속보 11월 취업자 수 22만5천명 극우 수구들아 극우 유튜브 조선뉴스 가짜뉴스보고 개소리좀 작작해라 극우유튜브의 왜곡선동에 멍청하게 놀아나지마라 극우 유튜버들 우매한 보수할매할배들한테 코인팔이 그 이상도 이하도 아니다 윤완용때 삼전 5만원대 코스피2500 윤통 모지리때 역대최저 마이너스 경제성장률 기록,찬티
425555818,2시 기대 되네... 슛팅 나올 듯...,apple30,2026.07.15 12:06,"레버리지들 엄청 사댈 듯...
약속의 2시 가즈아...~~~~^^",삼성전자,레버리지들 엄청 사댈 듯... 약속의 2시 가즈아...,찬티
425555779,닉스랑 키 마추러 가자,원조취중천국,2026.07.15 12:05,10퍼 까진 가야지?,삼성전자,10퍼 까진 가야지?,안티
425555754,"삼성전자 600,000원 하이닉스 4,000,000원",글래머F,2026.07.15 12:05,이재명대통령이 삼전닉스 레버리지로 주식시장 말아먹었네 이재명대통령 불구경 재미있냐 불법공매도 증권사놈들 장난질에 전종목 폭락하는데 구경만하냐 개미들 다죽네 이재명정부 개판이다,삼성전자,이재명대통령이 삼전닉스 레버리지로 주식시장 말아먹었네 이재명대통령 불구경 재미있냐 불법공매도 증권사놈들 장난질에 전종목 폭락하는데 구경만하냐 개미들 다죽네 이재명정부 개판이다,안티
