nid,title,author,date,content,company,content_clean,sentiment
425562846,능력이 없으면,목포1쇠주먹,2026.07.15 13:06,내려와라 뻘소리 하덜말고 ㅋㅋ,SK하이닉스,내려와라 뻘소리 하덜말고,안티
425562806,외인이나 기관 살때 다음날 까지는 오른다,하늘st,2026.07.15 13:05,보통..ㅋ,SK하이닉스,보통..,중립
425562791,한미 반도체 상한가 가뿌네ㅡㅡ,부자되고픈개미v,2026.07.15 13:05,우리도 상한가 함 가즈아~~~~삼전 가자 상한가,SK하이닉스,우리도 상한가 함 가즈아 삼전 가자 상한가,찬티
425562790,상승장이닷~~~,순리대로능력대로,2026.07.15 13:05,지금도 싸다~~~~^^,SK하이닉스,지금도 싸다,찬티
425562786,이재명이 금융마피아에 무릎꿇은거야,tjt,2026.07.15 13:05,"선량한 개미죽어나가는데
레버리지 상폐 안하는 이유가 도대체 머냐?
아니면
개미죽이는 금융마피아와 한패냐?",SK하이닉스,선량한 개미죽어나가는데 레버리지 상폐 안하는 이유가 도대체 머냐? 아니면 개미죽이는 금융마피아와 한패냐?,안티
425562768,삼전이 못가는 이유,멘탈좋은종목뉴스마왕,2026.07.15 13:05,"닉스거래대금 14조 원대
삼전 7조 원대",SK하이닉스,닉스거래대금 14조 원대 삼전 7조 원대,중립
425562761,솔까 합시다..,섬집아기N잠들다z숨이멈추다T,2026.07.15 13:05,"●●
홍명보는 선발과정 부터 문제가 있지만..
홍명보 문제 빼고라도...
국대축구 남아공이랑 경기할때,
무신 동네 축구선수가 하는 줄~~
이강인 볼 잡으면 다뺏기고 안쫏아가
손홍민 후반 골 3번 잡았나!! 안 뛰어~~
나머지 선수들도 너무 못 뛰고,
이기고 싶은 근성들이 하나도 없는 듯...",SK하이닉스,"홍명보는 선발과정 부터 문제가 있지만.. 홍명보 문제 빼고라도... 국대축구 남아공이랑 경기할때, 무신 동네 축구선수가 하는 줄 이강인 볼 잡으면 다뺏기고 안쫏아가 손홍민 후반 골 3번 잡았나!! 안 뛰어 나머지 선수들도 너무 못 뛰고, 이기고 싶은 근성들이 하나도 없는 듯...",안티
425562757,내일 또,물망초,2026.07.15 13:05,"어떻게 되는지 알지
엉능 수익 챙겨",SK하이닉스,어떻게 되는지 알지 엉능 수익 챙겨,찬티
425562750,불장에 다가네 티씨케이도가자,하루하루풋,2026.07.15 13:05,ㅇ이넘도좀가자,SK하이닉스,이넘도좀가자,찬티
425562737,오늘 새벽에 미국 리포트 닉스 489만원 나왔다,코코냥냥,2026.07.15 13:05,"조정하면 추매하고
오르면 꽉 쥐고 있어라
미국닉스 주가와 한국닉스 주가는 어차피
같이 간다",SK하이닉스,조정하면 추매하고 오르면 꽉 쥐고 있어라 미국닉스 주가와 한국닉스 주가는 어차피 같이 간다,찬티
425562731,회복?,예리한판단짱,2026.07.15 13:05,아님 또 장난질?,SK하이닉스,아님 또 장난질?,안티
425562727,형이 오늘 종가 +10% 라고 팁줫다 . 알제,큐리23,2026.07.15 13:05,털린개미들 밞고 올라갈일만 남앗어 35만 ㄱㄱ,SK하이닉스,털린개미들 밞고 올라갈일만 남앗어 35만,찬티
425562724,삼성,차카게살자인생,2026.07.15 13:05,상으로몰아라,SK하이닉스,상으로몰아라,찬티
425562716,인버스/곱버스 몇일 좋았다가 익절못하고 털려나가겠군,본수원갈비,2026.07.15 13:05,아이코 깨소금이다,SK하이닉스,아이코 깨소금이다,안티
425562713,프로그램 던질때 됐는데 뭐하노,rlgndnlrl,2026.07.15 13:05,"매수도 안하면서 기다리다
하더버릇 그대로 해라",SK하이닉스,매수도 안하면서 기다리다 하더버릇 그대로 해라,안티
425562699,카페에 다시 글올라왔다,검은머리한국놈,2026.07.15 13:05,지금 풀로 땡겨서 몰빵하면 하루 천만은 우습게 번다,SK하이닉스,지금 풀로 땡겨서 몰빵하면 하루 천만은 우습게 번다,찬티
425562696,개미들아 기관들아 외인들 삼성 못사게 모두 풀매수 진격하라,Als,2026.07.15 13:05,외인들 삼성 뺏으려고 아주 난리다,SK하이닉스,외인들 삼성 뺏으려고 아주 난리다,중립
425562659,아휴 살기 싫네요,해비레인,2026.07.15 13:04,털리고 올라가는 거 보니까,SK하이닉스,털리고 올라가는 거 보니까,중립
425562630,탈출은지능순,조정시매수는따블,2026.07.15 13:04,오늘이 마지막기회,SK하이닉스,오늘이 마지막기회,찬티
425562627,처음으로 한며칠 단타 쳐보니,단타잘하기,2026.07.15 13:04,"매도후 잠깐 시간인데도
삼성전자 주식 안 가지고 있으니
너무 불안 초조하더라
몇번 4848해도 주식수 줄어들지
않은 것이 오히려 다행이다
매도후 느낌 아니까~~~~
다시 진득하게 개긴다",SK하이닉스,매도후 잠깐 시간인데도 삼성전자 주식 안 가지고 있으니 너무 불안 초조하더라 몇번 4848해도 주식수 줄어들지 않은 것이 오히려 다행이다 매도후 느낌 아니까 다시 진득하게 개긴다,찬티
425562598,삼전50만원 하이닉스 360만원,Thks1133,2026.07.15 13:04,"이번 상승으로 두배간다
v자형차트",SK하이닉스,이번 상승으로 두배간다 v자형차트,찬티
425562562,빚투 불신자들 떨구고 15000 간다,MT,2026.07.15 13:04,"가즈아....
내일은 8000 이다",SK하이닉스,가즈아.... 내일은 8000 이다,찬티
425562560,수직상승!,오늘그날인가,2026.07.15 13:04,"수직상승!
이제시작!",SK하이닉스,수직상승! 이제시작!,찬티
425562553,"오늘은 30만전자로 복귀하자,,,",REDFIRE,2026.07.15 13:04,유캔두잇~~~!!!,SK하이닉스,유캔두잇 !!!,찬티
425562548,하이닉스 해외주식 상장한거 이틀간 육십퍼넘게,주식본업,2026.07.15 13:03,"오르고 있다 ㅎㅎㅎ 그 덕에 삼성도 오르는거니까
하이닉스보다 덜 오른다고 징징대지마라
떨어질땐 하이닉스가 더 떨어지니까 항상",SK하이닉스,오르고 있다 그 덕에 삼성도 오르는거니까 하이닉스보다 덜 오른다고 징징대지마라 떨어질땐 하이닉스가 더 떨어지니까 항상,찬티
425562536,"""면피용"",""답정너"" 토론회쑈한 종북주사파 범죄자 李 제명, 분당 아파트나 팔고 얘기해라",김현지중국공쟉원,2026.07.15 13:03,"""면피용"",""답정너"" 토론회쑈한
종북주사파 李 제명 범죄자
●
방금 이와 같이
범죄자 李 제명이는 했던 짓은
범죄자 리제명같은
악질 범죄자는
처벌을 강화해야 합니다
1번 눌러보세요
(
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
)
라는 질문과
똑같은 질문이다
●
종북주사파 범죄자 李 제명이
부동산 집 가진 사람들은
악마화시켜서
전국민에게 해당하는
보유세를 올리고
세제개편 짖어대는 거를
""초고가 보유세 부담을 올리는 거..
라고 짖어대는
종북주사파 李 제명 범죄자야
●
이런 식으로
의견 수렴하는 척
쑈를 하고
마치 의견이 수렴된 것처럼
포장지를 깔고 짖어대는
범죄자 리제명아
국민들이 모를 것 같냐???
● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
그런데
오세훈이
그 거짓토론회에서
질문 하나 하겠습니다
""서울 주택 행정은... ""
말을 하려는데
범죄자 리제명집단이 짖어대기를
""그 얘기는 나중에 하시죠""
라고 짖어대는
의견수렴하는 척 포장지를 까는
종북주사파 범죄자 리제명 범죄자야
●
범죄자 리제명이 의견수렴한다 했더니
어리석은 궁민들은
진짜인 줄 알더라
또 국민들이 속을 것 같으냐???
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
●
""면피용"",""답정너"" 토론회짓한 李 제명 범죄자
범죄자 리제명이는 하는 짓은
범죄자 리제명같은
악질 범죄자는
처벌을 강화해야 합니다
1번 눌러보세요
(
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
)
라는 질문과 똑같은 질문이다
●
부동산 집 가진 사람들은 악마화시켜
전국민에게 해당하는
보유세를 올리고
세제개편 짖어대는 거를
마치 의견 수렴하는 척 쑈를 해서
마치 의견이 수렴된 것처럼
포장지를 깔고 짖어대는
범죄자 리제명아
국민들이 모를 것 같냐???
●
분당 아파트 팔았다고 짖어대던게
분당 아파트
등기부등본 떼보니
안 팔았더라????
●
최소 29억짜리 분당 아파트
팔고 나서 얘기해라
본인 범죄짓 무마하려
재판 중 선거에 나와
부정선거짓으로 대한민국 찬탈한
종북주사파 범죄자 리제명아
●
전자개표기 프로그램 실행시각 :
2026년 5월 12일
21시 48분 41초
세종시에서 19장이 발견된
●
이런게 드러날줄은
꿈에도 모르고 있던
중국공산당이
대한민국 6.3 지방선거
"" 한 달 전에 ""
중국공산당이 SNS에 올린
대한민국
6.3 지방선거 결과표",SK하이닉스,"면피용 , 답정너 토론회쑈한 종북주사파 제명 범죄자 방금 이와 같이 범죄자 제명이는 했던 짓은 범죄자 리제명같은 악질 범죄자는 처벌을 강화해야 합니다 1번 눌러보세요 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 라는 질문과 똑같은 질문이다 종북주사파 범죄자 제명이 부동산 집 가진 사람들은 악마화시켜서 전국민에게 해당하는 보유세를 올리고 세제개편 짖어대는 거를 초고가 보유세 부담을 올리는 거.. 라고 짖어대는 종북주사파 제명 범죄자야 이런 식으로 의견 수렴하는 척 쑈를 하고 마치 의견이 수렴된 것처럼 포장지를 깔고 짖어대는 범죄자 리제명아 국민들이 모를 것 같냐??? 그런데 오세훈이 그 거짓토론회에서 질문 하나 하겠습니다 서울 주택 행정은... 말을 하려는데 범죄자 리제명집단이 짖어대기를 그 얘기는 나중에 하시죠 라고 짖어대는 의견수렴하는 척 포장지를 까는 종북주사파 범죄자 리제명 범죄자야 범죄자 리제명이 의견수렴한다 했더니 어리석은 궁민들은 진짜인 줄 알더라 또 국민들이 속을 것 같으냐??? 면피용 , 답정너 토론회짓한 제명 범죄자 범죄자 리제명이는 하는 짓은 범죄자 리제명같은 악질 범죄자는 처벌을 강화해야 합니다 1번 눌러보세요 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 라는 질문과 똑같은 질문이다 부동산 집 가진 사람들은 악마화시켜 전국민에게 해당하는 보유세를 올리고 세제개편 짖어대는 거를 마치 의견 수렴하는 척 쑈를 해서 마치 의견이 수렴된 것처럼 포장지를 깔고 짖어대는 범죄자 리제명아 국민들이 모를 것 같냐??? 분당 아파트 팔았다고 짖어대던게 분당 아파트 등기부등본 떼보니 안 팔았더라???? 최소 29억짜리 분당 아파트 팔고 나서 얘기해라 본인 범죄짓 무마하려 재판 중 선거에 나와 부정선거짓으로 대한민국 찬탈한 종북주사파 범죄자 리제명아 전자개표기 프로그램 실행시각 2026년 5월 12일 21시 48분 41초 세종시에서 19장이 발견된 이런게 드러날줄은 꿈에도 모르고 있던 중국공산당이 대한민국 6.3 지방선거 한 달 전에 중국공산당이 SNS에 올린 대한민국 6.3 지방선거 결과표",안티
425562520,폭등해도 반갑지 않은 시장 상황,행복한아웃사이더,2026.07.15 13:03,"예측 가능하게 조금씩 우상향 하는 시장이 제일 좋은데 이건 뭐 이유없이 폭등, 폭락을 시도때도 없이 반복하니 단타로 대응해야되는 상황이 답답하네. 연초만해도 시장이 이러지 않았는데 계속 주식창 보고 있어야하는 상황으로 돌변했네. 으^^",SK하이닉스,"예측 가능하게 조금씩 우상향 하는 시장이 제일 좋은데 이건 뭐 이유없이 폭등, 폭락을 시도때도 없이 반복하니 단타로 대응해야되는 상황이 답답하네. 연초만해도 시장이 이러지 않았는데 계속 주식창 보고 있어야하는 상황으로 돌변했네. 으",중립
425562519,제발 오늘 30만 가고 내일 34만 가주세요,일확천금삼전,2026.07.15 13:03,저 그만 탈출하고 싶어요..,SK하이닉스,저 그만 탈출하고 싶어요..,안티
425562510,"흔들리지 마시고, 꽉 잡으세요.",긍정적인대장주여행자,2026.07.15 13:03,45723867,SK하이닉스,45723867,중립
425562479,세계 1등 기업 죽이기,그냥기둘려,2026.07.15 13:03,"외넘들 하는 짓거리
미국 우선주의
거기에 놀아나는 개관들
세계 1등 기업이라는 자부심을 지키자",SK하이닉스,외넘들 하는 짓거리 미국 우선주의 거기에 놀아나는 개관들 세계 1등 기업이라는 자부심을 지키자,찬티
425562477,어제 종가 빼고 스퀘어탈껄그랬네,돈좀만져보자개미들아,2026.07.15 13:03,"고민 겁나하다 놔뒀는데. 에잇
짜증좀 나네",SK하이닉스,고민 겁나하다 놔뒀는데. 에잇 짜증좀 나네,안티
425562468,● 삼전 중장기 50-60만 간단다,부자기운,2026.07.15 13:03,"누가
국내외 증권사
그럼 사팔사팔해야겠니
눈감고 귀닫고 홀딩해야겠냐
제발 설레발치면서 외인에 놀아나지 마라",SK하이닉스,누가 국내외 증권사 그럼 사팔사팔해야겠니 눈감고 귀닫고 홀딩해야겠냐 제발 설레발치면서 외인에 놀아나지 마라,안티
425562464,매물벽으로 누루네...,이거슨뭐여,2026.07.15 13:03,"제가 잘못 본건가요..
없던 200,000주가 갑자기 매물벽으로 나온거....",SK하이닉스,"제가 잘못 본건가요.. 없던 200,000주가 갑자기 매물벽으로 나온거....",중립
425562397,강한 상승으로 추세 살아남,정신차리라,2026.07.15 13:02,"이제 외인들도 누르기 끝나고
매집 국면 시작.
나스닥 반도체 모두 상승.
대세라는 거죠.",SK하이닉스,이제 외인들도 누르기 끝나고 매집 국면 시작. 나스닥 반도체 모두 상승. 대세라는 거죠.,찬티
425562387,이건뭐 이성전자도 아니고,마음고운집중력리더,2026.07.15 13:02,오성전자간다더만 이름값처럼만 올라라 언제까지 이성전자냐..,SK하이닉스,오성전자간다더만 이름값처럼만 올라라 언제까지 이성전자냐..,찬티
425562377,이젠 트럼프 아들,오랜선배,2026.07.15 13:02,공매도 안통한다,SK하이닉스,공매도 안통한다,중립
425562307,진짜ㅜ노조 때문에 그러나,주식하는백수,2026.07.15 13:02,하 jot같네,SK하이닉스,하 jot같네,안티
425562299,외인이 올리기에는 매집 덜한거 아닌가 생각하는데.,유리심장,2026.07.15 13:02,개미 매도 물량을 외인보다 기관에서 많이 샀잖아. 그런데 지금 외인이 올리면 기관 좋은 일 시키는 건데 벌써 올리려나?,SK하이닉스,개미 매도 물량을 외인보다 기관에서 많이 샀잖아. 그런데 지금 외인이 올리면 기관 좋은 일 시키는 건데 벌써 올리려나?,찬티
425562291,하닉 13프로 가는 동안,upio11,2026.07.15 13:02,삼전은 왜그럴까요?,SK하이닉스,삼전은 왜그럴까요?,중립
425562290,레버레지 도박장,slionss,2026.07.15 13:02,"레버레지만 겁나
오르네",SK하이닉스,레버레지만 겁나 오르네,찬티
425562263,어여 힘내라 삼전,돈좀만져보자개미들아,2026.07.15 13:01,"우리도 60일선은 회복하자 화이팅!!!
혼자만 60일선 회복 몬하고 있다",SK하이닉스,우리도 60일선은 회복하자 화이팅!!! 혼자만 60일선 회복 몬하고 있다,찬티
425562233,하루더 들고있을걸....ㅉ,지적늑대,2026.07.15 13:01,"1000주 주주인데
어제 미친척하고 249000원에 신용으로 3억때리고
245000원이하되면 신용 + 보유물량 다 매도한다 생각하다
신용산것 261000원에 팔았는데
하루만 더들고있을걸....ㅉㅉ
기존주식 수익만 일부 만회했네...아깝네",SK하이닉스,1000주 주주인데 어제 미친척하고 249000원에 신용으로 3억때리고 245000원이하되면 신용 보유물량 다 매도한다 생각하다 신용산것 261000원에 팔았는데 하루만 더들고있을걸.... 기존주식 수익만 일부 만회했네...아깝네,안티
425562220,삼전도 10% 이상 가자~,눈치챈원칙탐험가,2026.07.15 13:01,"하이닉스 13% 갔는데
언제까지 뒤만 따라가냐?",SK하이닉스,하이닉스 13 갔는데 언제까지 뒤만 따라가냐?,안티
425562152,자사주가 아닌 현금으로 받겠다고?,매화육공,2026.07.15 13:01,"이런 땡깡 부린 노조를 보았나?
얼마나 자기 회사 주가에 자신이 없었으면~
귀족노조 한방에 떼돈 벌라고
민주화 이루어진 것 아니다",SK하이닉스,이런 땡깡 부린 노조를 보았나? 얼마나 자기 회사 주가에 자신이 없었으면 귀족노조 한방에 떼돈 벌라고 민주화 이루어진 것 아니다,안티
425562150,삼성아!!,욱,2026.07.15 13:01,힘내라!!!!,SK하이닉스,힘내라!!!!,찬티
425562089,내일또 서킷걸리고 지룰할거같으면 개추,반짝이는코스닥기사,2026.07.15 13:00,도박장만든놈나와,SK하이닉스,도박장만든놈나와,안티
425562086,삼전아,실력파주식지표여우,2026.07.15 13:00,"조금만
더
힘을 내자.",SK하이닉스,조금만 더 힘을 내자.,찬티
425562078,닉스만큼 못오르네 ㅋ,오메갓,2026.07.15 13:00,어제 3~5% 차이날때 닉스가 튀어오르더니 오늘도 대단하다 ㅋ,SK하이닉스,어제 3 5 차이날때 닉스가 튀어오르더니 오늘도 대단하다,찬티
425562074,개미형님들,최프로그램,2026.07.15 13:00,38만원 이하에 팔면 바보인거 아시죠? 외국인에게 제발 털리지 맙시다,SK하이닉스,38만원 이하에 팔면 바보인거 아시죠? 외국인에게 제발 털리지 맙시다,찬티
425562071,285올려라,ktwms,2026.07.15 13:00,"285올려라
단타 5만주 던져주마 받아라
ㅋㅋㅋ
어제 24에 5만주 단타로 받음 ㅋㅋㅋ",SK하이닉스,285올려라 단타 5만주 던져주마 받아라 어제 24에 5만주 단타로 받음,찬티
